runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2372,8.4171,45.0,True,66.2038,True,2.4735,1.0,000110011001100110000
2373,8.0,38.0506,True,77.9935,True,0.1246,0.98,000110011001100110000
2375,8.8874,35.2166,True,71.5364,True,5.2398,1.0,000110011001100110000
2376,8.2185,37.3731,True,90.7259,True,2.497,1.0,000110011001100110000
2379,8.1857,37.0432,True,83.2969,True,5.9063,0.98,000110011001100110000
2380,8.4291,36.8044,True,66.0014,True,0.9326,1.0,000110011001100110000
2382,8.9012,45.0,True,85.0505,True,5.1359,0.97,000110011001100110000
2387,9.0,40.6741,True,89.9451,True,2.8815,0.99,000110011001100110000
2389,8.1213,45.0,True,69.7967,True,1.8595,1.0,000110011001100110000
2394,8.1939,41.9252,True,93.0657,True,2.7671,0.9,000110011001100110000
2396,8.1977,44.4819,True,73.6932,True,4.4619,1.0,000110011001100110000
2399,8.8797,35.0,True,52.0426,True,1.7734,0.99,000110011001100110000
2400,8.3134,44.355,True,87.4303,True,3.9478,1.0,000110011001100110000
2401,9.0,36.6237,True,91.3246,True,0.7956,0.94,000110011001100110000
2403,8.8201,39.4833,True,73.2636,True,2.3886,1.0,000110011001100110000
2405,8.5306,43.336,True,75.7593,True,5.3692,1.0,000110011001100110000
2408,8.6179,43.493,True,86.0946,True,1.7775,0.99,000110011001100110000
2409,8.7613,38.3758,True,63.7546,True,4.0616,1.0,000110011001100110000
2411,8.6784,39.726,True,85.5608,True,1.9521,0.99,000110011001100110000
2413,8.0295,43.9704,True,65.3545,True,4.6174,1.0,000110011001100110000
2415,8.2151,36.1721,True,57.8892,True,0.613,0.96,000110011001100110000
2423,9.0,43.6745,True,54.4665,True,0.5458,1.0,000110011001100110000
2429,8.2573,39.3336,True,89.1318,True,4.0549,0.97,000110011001100110000
2430,8.6174,42.536,True,89.7508,True,1.5999,0.99,000110011001100110000
2432,8.0045,43.5962,True,65.8627,True,0.9806,1.0,000110011001100110000
2433,8.0904,43.3092,True,55.4606,True,0.6344,0.98,000110011001100110000
2435,8.0285,43.9174,True,69.7331,True,3.4058,1.0,000110011001100110000
2436,8.069,43.8006,True,66.9036,True,0.6763,1.0,000110011001100110000
2437,8.6526,39.1406,True,93.4489,True,2.0695,0.94,000110011001100110000
2439,8.9116,40.3836,True,55.7702,True,5.1984,0.95,000110011001100110000
2445,8.1185,39.324,True,74.872,True,3.4376,1.0,000110011001100110000
2446,8.2716,42.5164,True,87.7182,True,4.6722,0.99,000110011001100110000
2447,8.2043,42.9148,True,69.9677,True,0.885,1.0,000110011001100110000
2448,8.9087,42.118,True,46.6905,True,5.3239,0.89,000110011001100110000
2450,8.2516,41.2224,True,60.2046,True,2.3903,1.0,000110011001100110000
2451,8.3489,38.8166,True,92.2696,True,4.2089,0.84,000110011001100110000
2452,8.6467,36.9557,True,50.3759,True,3.8714,0.98,000110011001100110000
2453,8.1742,38.002,True,69.2952,True,3.5031,1.0,000110011001100110000
2456,8.6848,37.296,True,90.2602,True,2.2449,0.99,000110011001100110000
2461,8.7417,35.0216,True,82.4047,True,2.7709,1.0,000110011001100110000
2465,8.1298,36.2566,True,56.8243,True,5.3523,1.0,000110011001100110000
2467,8.5924,42.9527,True,79.3423,True,0.8406,1.0,000110011001100110000
2472,8.5201,36.8518,True,81.8064,True,1.6581,1.0,000110011001100110000
2473,8.9209,36.2158,True,72.0099,True,5.4336,1.0,000110011001100110000
2475,8.932,44.11,True,83.8762,True,0.5709,1.0,000110011001100110000
2477,8.811,43.4765,True,89.8094,True,0.8913,0.98,000110011001100110000
2480,8.4792,37.1881,True,74.171,True,2.8755,1.0,000110011001100110000
2482,8.5396,41.9287,True,54.5426,True,3.7322,0.97,000110011001100110000
2485,8.254,35.0,True,68.1849,True,2.0423,1.0,000110011001100110000
2486,8.0528,39.3612,True,69.9249,True,2.1501,1.0,000110011001100110000
