runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
4234,7.4054,38.0234,True,14.9544,True,3.9122,1.0,000110011001100110000
4235,7.074,40.5932,True,43.6304,True,0.9965,1.0,000110011001100110000
4236,6.6475,45.0,True,48.9371,True,3.71,1.0,000110011001100110000
4239,7.5,41.824,True,59.9025,True,1.0017,1.0,000110011001100110000
4240,7.5,42.6647,True,47.7994,True,4.7329,1.0,000110011001100110000
4241,7.3774,35.3219,True,76.0053,True,2.4986,0.97,000110011001100110000
4243,7.0021,43.8449,True,58.4114,True,2.622,1.0,000110011001100110000
4244,7.0315,44.255,True,65.7405,True,3.6756,1.0,000110011001100110000
4245,7.2939,44.1909,True,31.8268,True,1.7803,0.99,000110011001100110000
4247,7.2798,44.2015,True,27.325,True,3.4206,0.84,000110011001100110000
4249,6.7227,38.4419,True,59.7763,True,1.1065,1.0,000110011001100110000
4253,7.5,38.0063,True,50.7892,True,1.006,1.0,000110011001100110000
4255,7.1597,35.0,True,65.5811,True,0.8431,0.9,000110011001100110000
4257,6.8012,41.8114,True,60.3936,True,4.4459,0.93,000110011001100110000
4258,6.585,37.8368,True,61.369,True,2.1981,0.96,000110011001100110000
4262,7.4945,35.0,True,2.986,True,4.8663,0.95,000110011001100110000
4264,7.0225,43.9703,True,26.7148,True,3.6337,0.92,000110011001100110000
4266,7.3379,39.5227,True,69.782,True,4.8211,0.97,000110011001100110000
4268,7.1645,43.6333,True,56.1219,True,2.4641,1.0,000110011001100110000
4270,7.175,39.1181,True,62.5969,True,3.2115,1.0,000110011001100110000
4271,7.5,36.7071,True,67.923,True,1.8105,1.0,000110011001100110000
4272,6.9244,44.8665,True,40.2503,True,3.1855,1.0,000110011001100110000
4273,7.5,38.5332,True,67.7399,True,3.6674,1.0,000110011001100110000
4274,6.503,45.0,True,62.363,True,2.0338,0.97,000110011001100110000
4277,7.2581,38.6262,True,41.732,True,5.4504,1.0,000110011001100110000
4278,7.5,37.4413,True,59.0852,True,5.6856,0.98,000110011001100110000
4280,7.2737,45.0,True,61.5574,True,3.9448,1.0,000110011001100110000
4281,6.961,41.2836,True,38.6206,True,0.6515,0.99,000110011001100110000
4282,6.5655,35.0,True,60.7537,True,4.0508,0.99,000110011001100110000
4284,7.4728,44.2238,True,53.2371,True,1.1809,1.0,000110011001100110000
4286,6.8434,35.0605,True,56.8812,True,3.3654,1.0,000110011001100110000
4289,7.1117,42.249,True,66.418,True,4.4232,1.0,000110011001100110000
4291,6.8618,38.0773,True,58.8789,True,2.0349,1.0,000110011001100110000
4293,7.3625,43.3401,True,58.2239,True,3.1047,1.0,000110011001100110000
4297,7.0594,40.6917,True,55.8714,True,1.5492,1.0,000110011001100110000
4303,7.4985,37.2024,True,10.3895,True,5.6953,0.98,000110011001100110000
4304,7.1722,35.0,True,38.5948,True,0.087,0.98,000110011001100110000
4305,7.1924,35.0,True,56.5304,True,2.5903,1.0,000110011001100110000
4306,7.4281,39.2148,True,55.2412,True,4.8633,1.0,000110011001100110000
4310,7.3783,39.7132,True,56.7148,True,0.846,1.0,000110011001100110000
4311,6.9528,36.5769,True,39.8563,True,5.0994,1.0,000110011001100110000
