runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
124,8.9236,18.0817,False,93.7286,True,1.0059,0.86,000011001101100110000
126,9.2539,27.3376,False,22.9954,True,4.9004,0.88,000110011011001100000
127,9.193,21.9638,False,55.2477,True,2.6609,1.0,000011011001101100000
128,8.6084,21.1145,False,20.7264,True,3.5038,0.8,000110011011001100000
129,9.3208,26.0214,False,28.716,True,4.2064,1.0,000110011011001100000
130,9.5,26.43,False,35.5042,True,0.0804,0.91,000011011001101100000
131,9.3383,22.9856,False,40.1221,True,5.6747,0.96,000110011011001100000
133,8.6524,20.5013,False,94.103,True,0.9608,0.83,000011001101100110000
134,9.0988,19.5178,False,60.8961,True,2.9125,0.96,000011001101100110000
141,9.5,22.7419,False,54.8916,True,1.3331,0.98,000011011001101100000
143,9.5,23.9779,False,22.6271,True,4.1546,0.98,000110011011001100000
144,8.9284,26.9609,False,46.2497,True,1.4264,1.0,000011011001101100000
145,8.5,20.3375,False,44.767,True,0.3274,0.89,000011011001101100000
147,9.5,18.1944,False,60.6546,True,0.678,0.88,000011001101100110000
149,8.9118,23.8106,False,57.0945,True,2.5183,0.83,000011011001101100000
151,9.2652,26.7475,False,14.9245,True,2.847,0.97,000110011011001100000
152,9.496,27.8583,False,17.0756,True,2.2458,0.97,000110011011001100000
154,9.3299,25.6658,False,83.9157,True,3.9903,0.88,000011001101100110000
156,9.5,18.874,False,14.5045,True,3.1664,0.89,000110011011001100000
159,8.9338,24.4838,False,70.9742,True,4.4667,0.9,000011001101100110000
160,8.9938,22.3838,False,17.1388,True,3.5905,0.89,000110011011001100000
161,9.3147,19.6763,False,9.8456,True,2.9701,0.9,000110011011001100000
162,9.2885,21.5821,False,76.4898,True,4.3793,0.9,000011001101100110000
163,9.3889,21.0043,False,6.4495,True,1.1697,0.88,000110011011001100000
167,9.2465,28.0,False,26.1148,True,5.157,0.97,000110011011001100000
168,9.4276,22.2295,False,67.0507,True,2.5622,0.98,000011001101100110000
169,9.0321,18.6443,False,90.0026,True,0.7454,0.82,000011001101100110000
172,9.5,19.6515,False,16.6042,True,2.8386,0.98,000110011011001100000
173,9.5,25.954,False,77.5959,True,4.7669,0.97,000011011001101100000
174,9.3959,18.8025,False,62.6217,True,4.2699,0.86,000011001101100110000
175,9.5,25.7769,False,98.6593,True,0.3877,0.88,000011001101100110000
179,9.3888,24.7819,False,75.5286,True,5.0436,0.88,000011011001101100000
182,9.5,18.0,False,26.4326,True,5.2433,0.88,000110011011001100000
185,9.325,24.7367,False,81.8699,True,4.7876,0.98,000011011001101100000
186,9.4084,22.6582,False,23.1612,True,5.0348,0.9,000110011011001100000
188,9.5,18.0,False,92.0728,True,4.9317,0.88,000011011001101100000
189,9.2374,20.6243,False,42.7326,True,5.4399,0.9,000110011011001100000
191,9.1745,25.3425,False,34.4129,True,4.7432,0.98,000110011011001100000
192,9.5,27.6059,False,94.2013,True,5.0172,0.96,000011011001101100000
193,9.1686,22.2545,False,58.5976,True,1.6756,0.9,000011011001101100000
194,9.4446,18.0,False,82.5215,True,3.7102,0.98,000011001101100110000
195,9.1095,25.8987,False,74.9631,True,4.35,0.9,000011001101100110000
196,9.0998,19.1126,False,47.1257,True,0.652,0.89,000011011001101100000
199,9.2799,21.4916,False,58.0306,True,1.864,0.95,000011011001101100000
207,9.3303,20.9519,False,13.5137,True,3.7808,0.9,000110011011001100000
208,9.2755,25.4696,False,36.6338,True,5.9508,0.98,000110011011001100000
209,9.3113,25.3972,False,37.986,True,5.4721,0.97,000110011011001100000
